accession	project	bases	gc	ags	country	div	arg_copies	cpg
DRR351861	PRJDB8879	9309.18125	2997.75	3.105389458760737	KR	4.591352052073337	8722.839	2.9097953465098825
DRR351862	PRJDB8879	3621.138152	1162.5	3.114957550107527	KR	3.8292390609596545	3329.683	2.864243440860215
SRR17687125	PRJNA798244	29549.564389	6630.625	4.456527761560939	KR	2.835101794545925	32348.903	4.8787109812423415
SRR19416391	PRJNA842693	8256.008636	2612.5	3.160194693205742	NH	5.663290141987185	294.598	0.11276478468899521
SRR19416393	PRJNA842693	4986.435199	1924.75	2.5906924010910504	NH	5.72019907382407	193.09199999999998	0.1003205611118327
SRR19416395	PRJNA842693	8579.533074	2799.375	3.064803062826524	NH	5.785196059504234	268.919	0.0960639428443849
SRR19416397	PRJNA842693	7228.256747	2209.375	3.271629645035361	NH	5.926431095034933	2385.258	1.0796075813295614
SRR19416399	PRJNA842693	4582.934909	1342.875	3.412778485711626	NH	5.424665512927947	992.404	0.7390144279996277
SRR19416401	PRJNA842693	1441.369845	416.5	3.4606718967587033	NH	5.511620994689213	37.306000000000004	0.0895702280912365
SRR19416403	PRJNA842693	8645.46176	3118.875	2.7719808456574886	NH	5.702329679666719	275.593	0.08836295138471405
SRR19416405	PRJNA842693	6431.922788	2146.75	2.996121014556888	NH	5.531696839954264	455.267	0.21207266798649121
SRR19416407	PRJNA842693	5339.296706	1661.75	3.2130565403941627	NH	5.281631201528946	280.66	0.16889423800210623
SRR19416409	PRJNA842693	6831.013353	2309.0	2.9584293430056303	NH	6.207410521809362	478.998	0.20744824599393677
SRR19416411	PRJNA842693	7845.267884	2845.375	2.7571999768044635	NH	5.682868767552848	531.116	0.18665940341782716
SRR19416413	PRJNA842693	9778.156432	3246.375	3.0120230817450233	NH	5.994436736617235	724.371	0.22313226290862884
ERR7625319	PRJEB49168	3593.485466	1043.75	3.4428603267065867	SG	3.8929854877402112	2785.823	2.669051976047904
ERR7625320	PRJEB49168	2922.336277	1125.875	2.595613435772177	SG	4.62413289453175	2169.133	1.9266197402020648
ERR7625321	PRJEB49168	2813.655199	944.625	2.9785948910943496	SG	3.696421412495874	2979.224	3.1538695249437607
ERR7625322	PRJEB49168	4843.879076	1449.875	3.3408942674368483	SG	3.192450230056477	3721.95	2.56708336925597
ERR7625323	PRJEB49168	2376.834937	666.0	3.568821226726727	SG	4.13689119558581	4162.846	6.250519519519519
ERR7625324	PRJEB49168	3272.93115	1032.25	3.1706768224751753	SG	3.567730110438814	5099.626	4.9403012836037785
